Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
8.15,1.55,1.4,1.201,K2
7.47,14.53,1.21,0.550,F8V
8.63,1.67,1.10,1.570,M0
8.13,22.9,0.71,0.710,G5V
8.23,4.41,1.10,0.986,G9III
8.41,8.49,0.77,0.461,F5V
6.47,7.63,0.76,0.946,G8II
9.83,0.99,1.46,1.540,K5
8.64,6.19,1.54,1.300,F5
7.73,19.78,0.87,0.537,G0V
8.64,1.96,0.95,0.889,G6III
8.94,8.38,1.24,0.415,F2
8.84,8.73,1.17,0.759,G5
6.32,6.95,0.81,1.99,G9III
5.80,4.50,0.56,0.67,B8
8.97,5.12,1.34,0.860,
7.53,23.90,0.85,0.577,G0V
8.83,,0,,
7.41,2.53,0.69,1.288,K0
7.80,5.43,1.90,0.437,F0
8.14,14.25,0.83,0.593,G0V
6.71,6.66,0.75,0.68,A1Vn
8.73,1.42,1.20,1.124,K1III
9.37,6.64,8.1,0.510,F0
8.69,11.12,1.22,0.644,G5
9.95,86.98,1.41,1.472,M2
7.10,6.27,0.87,1.128,K1III
8.9,2.45,0.90,0.496,F5
6.88,10.35,0.81,0.174,A2
9.48,0.8,1.69,1.37,K2
9.4,1.40,1.32,0.692,F2V
9.30,10.28,1.33,0.538,
8.49,62.48,0.82,1.76,K5V
8.30,3.18,1.4,0.998,G5
7.95,2.21,1.4,0.991,G5
7.8,5.31,0.63,0.6,B9
6.93,4.29,0.83,0.940,
8.38,4.33,1.15,0.60,B9V
4.61,25.38,1.5,1.29,K1III
8.56,229.33,1.8,1.462,M2V
8.78,1.29,1.2,1.156,K2III
7.42,9.55,0.76,0.191,A1Vs
8.26,1.69,1.27,1.52,G4V:p
7.71,5.5,0.64,1.93,K0III
6.91,6.75,1.3,1.120,G5
9.16,9.89,1.18,0.782,G8IV
8.99,3.30,1.34,1.199,K7
8.63,4.55,0.99,0.460,G0
9.90,2.61,1.46,0.599,F8
7.59,4.65,0.92,1.45,K0
7.39,4.76,0.99,0.990,K0III
11.99,6.35,13.2,,
7.78,4.79,0.99,1.123,K0III
7.47,2.1,0.96,1.620,M3III
6.97,3.7,0.93,1.444,K5
8.82,18.57,0.95,0.666,G5V
9.13,22.20,1.14,0.735,G5
7.86,11.4,0.91,0.494,F8
7.13,19.81,0.94,0.446,F5
9.45,-1.3,1.35,0.995,
12.4,0.75,22.30,0.501,A0
8.78,3.94,1.45,1.249,K2
7.23,3.52,0.83,1.174,K0
9.73,6.89,1.46,0.725,G5V
7.36,4.25,0.72,0.993,K0III
7.36,2.30,0.82,1.444,
8.47,0.47,0.94,0.180,B1.5IV
9.37,2.52,1.10,1.537,K5
6.99,4.25,0.78,1.187,K0III
8.20,85.10,2.74,1.410,K2
8.36,7.0,1.1,0.247,A0
8.22,21.3,1.6,0.636,G0
5.55,8.75,0.80,0.901,G5III
9.91,5.59,1.70,0.353,
9.67,2.19,1.68,0.524,
8.60,1.87,1.29,1.100,K1III
10.7,1.32,1.52,0.923,G5
10.15,7.28,1.45,0.677,G5
7.75,5.95,1.68,0.414,F2+
9.21,4.1,0.94,0.97,A0
9.66,0.26,1.41,0.787,G5V
8.47,2.62,1.1,0.45,A0
9.37,6.18,1.34,0.507,F6V
9.44,11.21,1.34,0.617,G0
9.99,7.92,1.61,0.646,
10.38,13.23,1.74,0.782,
7.51,24.85,0.92,0.595,G0V
8.91,2.92,1.19,1.190,K0
7.45,26.24,0.82,0.596,F8
9.57,6.50,1.46,0.510,G0
8.99,12.99,0.94,0.585,F8V
8.58,25.77,2.7,0.920,K0
6.90,5.31,0.73,1.564,K5
7.55,7.5,1.15,0.300,A3
7.93,4.26,0.91,0.239,A3
9.71,0.87,1.53,0.915,
9.57,1.54,1.37,1.812,
8.55,4.19,1.14,1.357,K3III
6.62,2.90,0.77,1.531,K5III
7.89,3.7,1.1,0.930,G5
7.51,5.66,0.82,1.112,
7.36,0.8,0.65,0.126,O6pe
8.66,1.33,1.8,0.39,A2
8.51,1.80,0.83,1.576,K3III
6.65,3.28,0.85,0.912,G5
9.67,13.5,1.67,0.633,G3V
7.80,11.7,1.0,0.501,F5
8.21,5.34,1.1,1.108,G5
7.90,4.39,0.96,0.30,B9V
8.94,2.9,1.20,1.0,K0
9.82,5.66,1.65,0.418,F2V
8.69,7.38,1.55,0.509,F8
8.57,0.16,1.12,1.612,M1III
8.89,5.95,1.14,0.476,
5.98,49.30,1.5,0.687,G5V
7.92,5.38,1.67,0.459,F3IV
7.60,2.35,1.15,1.539,M
8.22,4.71,1.3,1.220,K2
5.70,39.0,0.64,0.519,G1IV
12.17,56.92,2.73,1.550,M4
8.75,7.24,1.32,0.487,
6.93,8.60,0.73,1.86,K0
7.97,4.78,0.82,0.256,F0
8.6,3.9,0.80,1.431,K2
10.13,4.69,1.62,0.593,F8
7.31,6.73,0.90,0.402,F2IV
8.35,8.11,0.91,0.624,G1V
5.57,3.32,0.54,0.23,B9III
9.85,4.60,1.18,0.526,F6V
9.16,-1.67,1.78,1.45,G8III
9.3,3.63,1.27,1.349,
10.7,5.95,1.54,0.590,F5
9.76,2.90,1.34,1.390,M6e
9.35,3.91,1.56,0.410,F2V
10.95,13.26,2.41,1.8,K1
8.87,6.15,1.6,0.426,F8
6.68,5.13,0.79,0.986,G9III
9.69,10.2,3.40,0.578,F6V
8.5,4.21,1.9,0.112,A0
10.30,2.4,1.67,0.506,F5
6.7,72.98,0.75,0.752,K0V
8.51,4.0,1.9,1.107,K0
7.71,5.2,0.87,1.38,G8III
8.56,5.61,1.12,0.548,F7V
8.26,2.44,0.98,1.233,K0
11.55,0.29,2.47,0.490,
8.62,2.41,1.12,0.148,B9
10.92,5.29,6.6,0.792,
10.51,1.92,2.72,0.759,
9.83,2.30,10.40,0.587,
9.84,9.89,1.59,0.690,G0
9.74,4.82,1.50,0.494,F8
8.21,9.8,1.9,0.574,F8
8.72,6.36,0.97,0.410,F4IVws
8.3,1.65,0.76,1.631,K5p
9.0,0.55,1.10,0.90,F5
6.19,25.59,0.75,0.386,F2IV
11.79,3.17,2.20,0.710,
8.22,3.69,1.0,0.951,G5
7.93,4.96,0.97,1.107,K0
10.18,0.77,1.61,0.580,F5V
8.98,6.64,1.23,0.567,F8
9.13,1.34,1.33,1.125,K0
6.91,3.69,0.80,1.123,K0III
8.79,1.16,1.17,1.234,K3III
8.23,18.71,1.5,0.580,G0
12.19,3.82,3.43,,
10.24,3.82,3.43,0.402,
8.83,2.0,1.14,1.114,G5
7.62,3.73,0.94,0.955,G8III
8.96,4.4,1.13,0.446,
10.41,2.89,1.90,0.510,B8
8.97,3.75,1.18,0.50,A
9.61,15.97,1.47,0.761,G5
8.29,8.40,0.93,0.387,F0
8.30,0.43,1.15,1.552,M
8.26,4.1,1.6,0.494,F5
7.44,7.12,0.92,0.203,A5
9.52,4.40,1.7,0.190,A0V
8.20,4.41,0.71,0.295,A3
8.68,7.89,2.34,0.529,F5V
8.65,4.33,1.16,0.61,A1V
10.52,6.74,2.27,0.512,G0
8.41,5.14,1.1,0.405,F3V
9.18,5.85,1.26,0.333,F2
8.42,4.84,0.88,0.345,A3
8.86,3.28,1.10,1.552,M5
7.92,4.3,0.90,1.54,K0
10.97,0.66,2.25,0.330,
8.85,4.19,1.28,0.323,A3
9.31,6.51,1.20,0.226,A9V
10.28,6.34,2.0,0.503,F3V
7.56,11.92,0.61,0.419,
7.88,4.23,0.74,0.407,F2
7.99,3.54,1.0,1.441,K0
8.23,17.18,1.0,0.599,
8.52,2.20,1.24,1.84,K1III
9.14,17.98,2.35,0.740,G5
6.20,6.24,0.85,0.133,
7.64,5.87,1.72,0.493,F5
8.95,8.23,1.18,0.653,G0
7.48,2.87,0.87,1.532,K5III
7.6,20.63,0.91,0.463,F5V
7.33,9.37,0.84,1.11,K1IV
8.98,1.52,2.42,0.739,G5
8.24,7.19,1.22,0.271,A6:m
8.53,7.21,1.14,0.909,K0V
8.40,2.19,0.77,1.14,G8III
7.48,7.51,0.77,0.466,
8.46,1.63,1.6,1.590,K0
9.29,2.41,1.7,1.10,K0
8.57,5.48,0.94,0.249,A5
8.70,30.76,1.21,0.798,K0V
8.50,10.8,0.93,0.451,F5
8.37,8.86,1.46,0.595,F7V
6.87,6.5,0.77,1.124,G5
7.50,2.50,0.69,1.703,M1III
7.39,2.53,0.57,0.18,B9IV
8.19,8.21,0.99,0.584,
7.56,2.74,1.26,0.900,G5
8.37,9.73,1.0,0.379,F0
7.39,5.37,0.80,1.8,K0
6.73,10.14,0.73,0.951,G5
8.66,2.38,0.88,0.790,G3III
8.25,2.89,1.6,0.170,A0
8.47,3.33,1.15,0.953,G5
8.1,9.58,0.89,0.456,F5
6.83,7.84,0.65,1.158,
9.6,1.60,1.32,1.74,M2III
8.79,4.21,1.16,1.127,K2III
7.44,7.19,0.92,0.478,F5
6.43,6.69,0.92,0.146,
5.93,12.45,0.74,0.141,A1V
8.85,4.31,1.43,1.196,K0
9.86,4.43,1.32,0.244,A2
8.55,7.6,1.33,0.964,G5
7.66,5.76,0.78,0.181,A3
7.82,21.83,0.84,0.610,G0
9.8,11.55,1.40,0.595,G0
10.10,5.57,1.58,0.570,F8
8.21,3.50,1.11,1.87,
8.85,7.79,2.24,0.631,
7.79,1.17,0.67,1.450,K3III
7.58,3.64,0.94,1.271,K1IV
7.85,10.66,0.99,0.505,F5V
7.18,8.95,0.60,0.156,A3V
7.54,3.83,0.93,0.408,F2
9.72,6.43,1.39,0.434,
7.12,8.19,0.74,0.184,A5
9.77,6.67,1.50,0.306,
8.84,4.37,1.17,1.42,K0III
5.67,10.2,0.71,1.119,K1III
8.15,9.77,0.98,0.617,F8
9.61,3.92,1.34,0.961,G5
8.19,3.44,1.16,1.79,G5
7.27,4.90,0.76,0.207,A3
8.51,3.26,0.84,0.215,A0
8.36,2.42,0.93,1.113,
10.0,4.93,1.47,0.550,G0
8.74,1.92,0.83,1.227,K2III
6.18,3.25,0.96,1.366,K2III
10.26,7.53,1.63,0.730,G0
10.16,5.68,2.36,0.393,F5V
8.31,4.8,1.6,1.53,K0
8.58,3.46,0.97,0.915,G5
7.4,36.18,1.2,0.624,
8.81,3.75,1.19,0.310,A2
5.99,9.79,0.92,1.34,G8III
8.22,3.50,1.43,1.64,K1III
9.86,7.73,3.35,0.789,K0V
